Category,Level1,Level2,Level3,Level4,Federal,,GovXFer,State,Local,Total
#NAME?,Health Care,Health Status,Crude Birth Rate,,25.5,b,,27.2,,
#NAME?,Health Care,Health Status,Crude Death Rate,,7.6,b,,8.9,,
#NAME?,Health Care,Health Status,Maternal Mortality Rate,,3.8,b,,4.9,,
#NAME?,Health Care,Health Status,Infant Mortality Rate,,62,b,,72,,
#NAME?,Health Care,Health Status,Life Expeatancy at birth - Male,,61.5,b,,62.36,,
#NAME?,Health Care,Health Status,Life Expeatancy at birth - Female,,62.77,b,,63.39,,
#NAME?,Health Care,Health Status,Pre-Natal Mortality Rate,,42.3,b,,48.6,,
#NAME?,Health Care,Health Status,Child Mortality rate,,43,b,,42,,
#NAME?,Health Care,Health Status,General fertilty Rate,,20.7,b,,23.7,,
#NAME?,Health Care,Health Status,Sex ratio - Male to Female,,106,b,,118,,
#NAME?,Health Care,Health Status,Others,,0.1,,,,,
#NAME?,Health Care,Health Status,Others,,,,,,,
#NAME?,Health Care,Health Status,Others,,,,,,,
#NAME?,Health Care,Health Status,Others,,,,,,,
#NAME?,Health Care,Health Status,Others,,,,,,,
#NAME?,Health Care,Health Status,Others,,,,,,,
#NAME?,Health Care,Health Status,Others,,,,,,,
#NAME?,Health Care,Health Status,Others,,,,,,,
#NAME?,Health Care,Health Status,Others,,,,,,,
#NAME?,Health Care,Health Status,Others,,,,,,,
#NAME?,Health Care,Health Status,Others,,,,,,,
#NAME?,Health Care,Health Status,Others,,,,,,,
#NAME?,Health Care,Health Status,Others,,,,,,,
#NAME?,Health Care,Health Status,Others,,,,,,,
#NAME?,Health Care,Health Status,Others,,,,,,,
#NAME?,Health Care,Health Status,Others,,,,,,,
#NAME?,Health Care,CBR and CDR,Federal Intergovernmental  Health and Hospitals (B42),,0,g,-28.2,0,0,-28.2
#NAME?,Health Care,CBR and CDR,Current Operations  Health  Other (E32),,0,g,0,35.7,36.9,72.6
#NAME?,Health Care,CBR and CDR,Current Operations  Hospitals (E36),,0,g,0,60,84.1,144.1
--Current Operations - Hospitals - Other (Disc. 2005) (E38),Health Care,CBR and CDR,Current Operations  Hospitals  Other (Disc. 2005) (E38),,0,,0,0,0,0
#NAME?,Health Care,CBR and CDR,Construction  Health  Other (F32),,0,g,0,0.9,0.5,1.4
#NAME?,Health Care,CBR and CDR,Construction  Hospitals (F36),,0,g,0,2.2,4,6.2
--Construction - Hospitals - Other (Disc. 2005) (F38),Health Care,CBR and CDR,Construction  Hospitals  Other (Disc. 2005) (F38),,0,,0,0,0,0
#NAME?,Health Care,CBR and CDR,Other Capital Outlay  Health  Other (G32),,0,g,0,0.3,0.3,0.6
#NAME?,Health Care,CBR and CDR,Other Capital Outlay  Hospitals (G36),,0,g,0,0.9,2.3,3.2
--Other Capital Outlay - Hospitals - Other (Disc. 2005) (G38),Health Care,CBR and CDR,Other Capital Outlay  Hospitals  Other (Disc. 2005) (G38),,0,,0,0,0,0
#NAME?,Health Care,Infant Mortality Rate,Consumer and occupational health and safety (554),Salaries and Expenses,0.115,b,,,,0.115
#NAME?,Health Care,Infant Mortality Rate,Consumer and occupational health and safety (554),Salaries and Expenses,0.455,b,,,,0.455
#NAME?,Health Care,Infant Mortality Rate,Consumer and occupational health and safety (554),Salaries and Expenses,0.373,b,,,,0.373
#NAME?,Health Care,Infant Mortality Rate,Consumer and occupational health and safety (554),Salaries and Expenses,0.132,b,,,,0.132
#NAME?,Health Care,Infant Mortality Rate,Consumer and occupational health and safety (554),Salaries and Expenses,0.051,b,,,,0.051
#NAME?,Health Care,Infant Mortality Rate,Consumer and occupational health and safety (554),Salaries and Expenses,0.947,b,,,,0.947
#NAME?,Health Care,Infant Mortality Rate,Consumer and occupational health and safety (554),Salaries and Expenses,2.496,b,,,,2.496
--Intergovernmental Revenue from Federal - Environmental Health (NEW for 2007) (B43),Health Care,Infant Mortality Rate,Intergovernmental Revenue from Federal  Environmental Health (NEW for 2007) (B43),,0,,0,0,0,0
--Current Operations - Environmental Health (NEW for 2007) (E27),Health Care,Infant Mortality Rate,Current Operations  Environmental Health (NEW for 2007) (E27),,0,,0,0,0,0
--Construction - Environmental Health (NEW for 2007) (F27),Health Care,Infant Mortality Rate,Construction  Environmental Health (NEW for 2007) (F27),,0,,0,0,0,0
--Other Capital Outlay - Environmental Health (NEW for 2007) (G27),Health Care,Infant Mortality Rate,Other Capital Outlay  Environmental Health (NEW for 2007) (G27),,0,,0,0,0,0
#NAME?,Health Care,Health Infrastructure,Health research and training (552),Payment to the PatientCentered Outcomes Research Trust Fund,0.15,b,,,,0.15
#NAME?,Health Care,Health Infrastructure,Health research and training (552),"Payment from the General Fund, PatientCentered Outcomes Research Trust Fund",-0.15,b,,,,-0.15
#NAME?,Health Care,Health Infrastructure,Health research and training (552),PatientCentered Outcomes Research Trust Fund,0.265,b,,,,0.265
#NAME?,Health Care,Health Infrastructure,Health research and training (552),Health Resources and Services,0.569,b,,,,0.569
#NAME?,Health Care,Health Infrastructure,Health research and training (552),Health Resources and Services,0.144,b,,,,0.144
#NAME?,Health Care,Health Infrastructure,Health research and training (552),CDCWide Activities and Program Support,0.194,b,,,,0.194
#NAME?,Health Care,Health Infrastructure,Health research and training (552),CDCWide Activities and Program Support,-0.201,b,,,,-0.201
#NAME?,Health Care,Health Infrastructure,Health research and training (552),CDCWide Activities and Program Support,0.712,b,,,,0.712
#NAME?,Health Care,Health Infrastructure,Health research and training (552),National Institutes of Health,30.314,b,,,,30.314
#NAME?,Health Care,Health Infrastructure,Health research and training (552),National Institutes of Health,0.167,b,,,,0.167
#NAME?,Health Care,Health Infrastructure,Health research and training (552),Healthcare Research and Quality,0.138,b,,,,0.138
#NAME?,Health Care,Health Infrastructure,Health research and training (552),Transfers from the PatientCentered Outcomes Research Trust Fund,-0.051,b,,,,-0.051
553,Health Care,Health Infrastructure,-553,,0,,0,0,0,0
#NAME?,Health Care,Health Financing,,,0,,0,0,0,0
#NAME?,Health Care,Water Environment Sanitation,Federal Intergovernmental  Health and Hospitals (B42),,0,g,-28.2,0,0,-28.2
